De KM;Até KM; Custo KM/Eixo 
                1;         100;1,47
            101;        200;0,9
            201;        300;0,79
            301;          400;0,74
            401;           500;0,71
            501;           600;0,69
            601;           700;0,68
            701;            800;0,67
            801;           900;0,67
            901;         1000;0,66
         1001;         1100;0,66
         1101;         1200;0,65
         1201;         1300;0,65
         1301;         1400;0,65
         1401;         1500;0,64
         1501;         1600;0,64
         1601;         1700;0,64
         1701;         1800;0,64
         1801;         1900;0,64
         1901;         2000;0,64
         2001;         2100;0,64
         2101;         2200;0,64
         2201;         2300;0,63
         2301;         2400;0,63
         2401;         2500;0,63
         2501;         2600;0,63
         2601;         2700;0,63
         2701;         2800;0,63
         2801;         2900;0,63
         2901;         3000;0,63
